sequence,cq_level,base_qindex,block_dim,partition,partition_name,count,is_decision_node
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,8,0,NONE,576547,0
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,0,NONE,38422,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,1,HORZ,10051,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,2,VERT,13409,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,3,SPLIT,31884,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,4,HORZ_A,15303,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,5,HORZ_B,17920,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,6,VERT_A,15662,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,16,7,VERT_B,17265,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,0,NONE,1393,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,1,HORZ,108,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,2,VERT,240,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,3,SPLIT,36648,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,4,HORZ_A,215,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,5,HORZ_B,518,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,6,VERT_A,523,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,7,VERT_B,773,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,8,HORZ_4,25,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,32,9,VERT_4,277,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,0,NONE,59,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,1,HORZ,2,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,2,VERT,4,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,3,SPLIT,10105,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,4,HORZ_A,1,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,5,HORZ_B,1,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,6,VERT_A,2,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,7,VERT_B,6,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,20,80,64,9,VERT_4,2,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,8,0,NONE,414355,0
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,0,NONE,114572,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,1,HORZ,7756,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,2,VERT,13558,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,3,SPLIT,1920,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,4,HORZ_A,565,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,5,HORZ_B,363,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,6,VERT_A,550,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,16,7,VERT_B,289,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,0,NONE,14796,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,1,HORZ,805,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,2,VERT,934,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,3,SPLIT,13975,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,4,HORZ_A,974,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,5,HORZ_B,1842,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,6,VERT_A,1332,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,7,VERT_B,1981,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,8,HORZ_4,216,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,32,9,VERT_4,1356,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,0,NONE,2060,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,1,HORZ,57,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,2,VERT,56,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,3,SPLIT,7398,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,4,HORZ_A,34,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,5,HORZ_B,54,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,6,VERT_A,55,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,7,VERT_B,64,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,8,HORZ_4,6,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,32,128,64,9,VERT_4,9,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,8,0,NONE,226716,0
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,0,NONE,94596,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,1,HORZ,2306,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,2,VERT,1492,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,3,SPLIT,12770,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,4,HORZ_A,137,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,5,HORZ_B,197,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,6,VERT_A,138,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,16,7,VERT_B,182,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,0,NONE,24633,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,1,HORZ,944,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,2,VERT,892,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,3,SPLIT,6386,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,4,HORZ_A,266,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,5,HORZ_B,109,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,6,VERT_A,203,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,7,VERT_B,158,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,8,HORZ_4,123,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,32,9,VERT_4,144,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,0,NONE,4778,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,1,HORZ,145,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,2,VERT,129,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,3,SPLIT,3037,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,4,HORZ_A,66,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,5,HORZ_B,89,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,6,VERT_A,82,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,7,VERT_B,47,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,8,HORZ_4,15,1
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,43,172,64,9,VERT_4,22,1
