sequence,width,height,total_frames,num_frames_used,frames_used,cq_level,base_qindex,cpu_used,threads,num_samples,dim8,dim16,dim32,dim64,part_NONE,part_HORZ,part_VERT,part_SPLIT,part_HORZ_A,part_HORZ_B,part_VERT_A,part_VERT_B,part_HORZ_4,part_VERT_4,bin_path,pkl_path,timestamp
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,787365,576547,159916,40720,10182,616421,10161,13653,78637,15519,18439,16187,18044,25,279,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-09T15:21:11+00:00
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,601932,414355,139573,38211,9793,545783,8618,14548,23293,1573,2259,1937,2334,222,1365,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-09T16:11:26+00:00
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,380802,226716,111818,33858,8410,350723,3395,2513,22193,469,395,423,387,138,166,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-09T16:38:01+00:00
Beauty_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,171331,55940,76571,30528,8292,151512,8982,2266,7600,216,175,184,137,113,146,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/Beauty_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-09T16:54:59+00:00
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,562223,380442,132874,38882,10025,507591,18943,5660,18321,3013,3192,1439,1813,1964,287,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-09T17:31:20+00:00
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,414830,251863,116061,37006,9900,380979,12543,4681,10480,1460,1726,703,860,1180,218,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-09T17:57:50+00:00
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,43,172,0,1,269124,129439,95750,34315,9620,244414,10319,4391,6237,742,823,406,428,1127,237,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq43.bin,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq43.pkl,2026-07-09T18:19:35+00:00
Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,55,220,0,1,166066,59155,67671,30017,9223,150068,6778,2838,3947,432,422,177,251,965,188,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq55.bin,/workspace/results/dataset_h9/Bosphorus_3840x2160_120fps_420_8bit_YUV_RAW_cq55.pkl,2026-07-09T18:34:43+00:00
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,20,80,0,1,582603,395972,138521,38189,9921,503153,7249,14395,40267,3460,2572,4641,4348,433,2085,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq20.bin,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq20.pkl,2026-07-09T19:06:17+00:00
CityAlley_3840x2160_50fps_420_8bit_YUV_RAW,3840,2160,600,5,0;150;300;449;599,32,128,0,1,469282,298864,123480,37208,9730,407835,7301,12773,29695,1946,1646,2555,2872,544,2115,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq32.bin,/workspace/results/dataset_h9/CityAlley_3840x2160_50fps_420_8bit_YUV_RAW_cq32.pkl,2026-07-09T19:31:45+00:00
