subset,tau_none,tau_rest,cost_red,none_wrong,split_lost,rect_off_wrong
var-thresh,0.5,-1.0,85.938,61.59,64.024,0.0
var-thresh,0.5,0.1,94.821,61.59,64.024,39.18
var-thresh,0.5,0.2,94.821,61.59,64.024,39.18
var-thresh,0.5,0.3,94.821,61.59,64.024,39.18
var-thresh,0.6,-1.0,82.788,57.103,56.96,0.0
var-thresh,0.6,0.1,94.373,57.103,56.96,41.01
var-thresh,0.6,0.2,94.373,57.103,56.96,41.01
var-thresh,0.6,0.3,94.373,57.103,56.96,41.01
var-thresh,0.7,-1.0,78.964,51.522,50.165,0.0
var-thresh,0.7,0.1,93.83,51.522,50.165,42.183
var-thresh,0.7,0.2,93.83,51.522,50.165,42.183
var-thresh,0.7,0.3,93.83,51.522,50.165,42.183
var-thresh,0.8,-1.0,73.652,44.359,42.746,0.0
var-thresh,0.8,0.1,93.098,44.359,42.746,41.747
var-thresh,0.8,0.2,93.098,44.359,42.746,41.747
var-thresh,0.8,0.3,93.098,44.359,42.746,41.747
var-thresh,0.85,-1.0,69.326,40.04,38.35,0.0
var-thresh,0.85,0.1,92.517,40.04,38.35,40.84
var-thresh,0.85,0.2,92.517,40.04,38.35,40.84
var-thresh,0.85,0.3,92.517,40.04,38.35,40.84
var-thresh,0.9,-1.0,61.699,35.173,31.716,0.0
var-thresh,0.9,0.1,91.51,35.173,31.716,38.927
var-thresh,0.9,0.2,91.51,35.173,31.716,38.927
var-thresh,0.9,0.3,91.51,35.173,31.716,38.927
var-thresh,0.95,-1.0,47.583,27.594,22.206,0.0
var-thresh,0.95,0.1,89.556,27.594,22.206,35.461
var-thresh,0.95,0.2,89.556,27.594,22.206,35.461
var-thresh,0.95,0.3,89.556,27.594,22.206,35.461
variance,0.5,-1.0,44.751,34.014,33.244,0.0
variance,0.5,0.1,63.31,34.014,33.244,1.942
variance,0.5,0.2,75.116,34.014,33.244,4.421
variance,0.5,0.3,75.116,34.014,33.244,4.421
variance,0.6,-1.0,32.129,29.523,22.801,0.0
variance,0.6,0.1,51.224,29.523,22.801,1.888
variance,0.6,0.2,68.871,29.523,22.801,7.01
variance,0.6,0.3,71.698,29.523,22.801,10.032
variance,0.7,-1.0,24.894,27.129,17.278,0.0
variance,0.7,0.1,44.125,27.129,17.278,2.045
variance,0.7,0.2,66.213,27.129,17.278,6.995
variance,0.7,0.3,69.348,27.129,17.278,10.718
variance,0.8,-1.0,9.949,22.385,7.818,0.0
variance,0.8,0.1,29.828,22.385,7.818,2.795
variance,0.8,0.2,54.663,22.385,7.818,14.138
variance,0.8,0.3,65.997,22.385,7.818,20.676
variance,0.85,-1.0,6.853,19.037,4.62,0.0
variance,0.85,0.1,26.759,19.037,4.62,2.809
variance,0.85,0.2,53.964,19.037,4.62,16.415
variance,0.85,0.3,65.299,19.037,4.62,21.03
variance,0.9,-1.0,0.002,0.0,0.0,0.0
variance,0.9,0.1,22.631,0.0,0.0,8.115
variance,0.9,0.2,52.59,0.0,0.0,15.874
variance,0.9,0.3,63.924,0.0,0.0,19.661
variance,0.95,-1.0,0.0,0.0,0.0,0.0
variance,0.95,0.1,22.631,0.0,0.0,8.112
variance,0.95,0.2,52.589,0.0,0.0,15.872
variance,0.95,0.3,63.924,0.0,0.0,19.66
pixels24,0.5,-1.0,41.311,22.818,6.464,0.0
pixels24,0.5,0.1,63.241,22.818,6.464,1.557
pixels24,0.5,0.2,71.828,22.818,6.464,6.541
pixels24,0.5,0.3,76.49,22.818,6.464,10.448
pixels24,0.6,-1.0,34.607,16.598,4.582,0.0
pixels24,0.6,0.1,59.178,16.598,4.582,1.492
pixels24,0.6,0.2,68.311,16.598,4.582,6.467
pixels24,0.6,0.3,73.198,16.598,4.582,10.323
pixels24,0.7,-1.0,28.027,11.781,3.108,0.0
pixels24,0.7,0.1,55.2,11.781,3.108,1.503
pixels24,0.7,0.2,64.613,11.781,3.108,6.276
pixels24,0.7,0.3,70.382,11.781,3.108,11.246
pixels24,0.8,-1.0,21.966,7.75,2.082,0.0
pixels24,0.8,0.1,50.497,7.75,2.082,1.775
pixels24,0.8,0.2,60.931,7.75,2.082,7.312
pixels24,0.8,0.3,69.406,7.75,2.082,15.031
pixels24,0.85,-1.0,18.904,5.761,1.434,0.0
pixels24,0.85,0.1,47.849,5.761,1.434,2.064
pixels24,0.85,0.2,60.348,5.761,1.434,9.657
pixels24,0.85,0.3,68.834,5.761,1.434,15.21
pixels24,0.9,-1.0,15.338,3.54,0.631,0.0
pixels24,0.9,0.1,45.297,3.54,0.631,2.975
pixels24,0.9,0.2,59.676,3.54,0.631,10.27
pixels24,0.9,0.3,68.187,3.54,0.631,14.614
pixels24,0.95,-1.0,10.089,1.636,0.195,0.0
pixels24,0.95,0.1,44.279,1.636,0.195,4.542
pixels24,0.95,0.2,58.765,1.636,0.195,9.196
pixels24,0.95,0.3,67.34,1.636,0.195,12.816
H9a,0.5,-1.0,40.673,20.668,4.684,0.0
H9a,0.5,0.1,64.494,20.668,4.684,1.64
H9a,0.5,0.2,70.741,20.668,4.684,5.259
H9a,0.5,0.3,75.072,20.668,4.684,9.239
H9a,0.6,-1.0,36.31,15.699,3.448,0.0
H9a,0.6,0.1,60.939,15.699,3.448,1.663
H9a,0.6,0.2,67.636,15.699,3.448,5.418
H9a,0.6,0.3,72.26,15.699,3.448,9.535
H9a,0.7,-1.0,31.83,11.25,2.295,0.0
H9a,0.7,0.1,57.252,11.25,2.295,1.779
H9a,0.7,0.2,64.372,11.25,2.295,5.628
H9a,0.7,0.3,69.78,11.25,2.295,10.78
H9a,0.8,-1.0,24.877,6.951,1.231,0.0
H9a,0.8,0.1,52.602,6.951,1.231,1.995
H9a,0.8,0.2,60.797,6.951,1.231,6.75
H9a,0.8,0.3,68.716,6.951,1.231,14.523
H9a,0.85,-1.0,20.141,4.932,0.929,0.0
H9a,0.85,0.1,49.693,4.932,0.929,2.197
H9a,0.85,0.2,60.05,4.932,0.929,9.101
H9a,0.85,0.3,67.992,4.932,0.929,14.493
H9a,0.9,-1.0,15.721,2.956,0.498,0.0
H9a,0.9,0.1,46.991,2.956,0.498,2.843
H9a,0.9,0.2,59.304,2.956,0.498,9.574
H9a,0.9,0.3,67.265,2.956,0.498,13.8
H9a,0.95,-1.0,10.689,1.303,0.139,0.0
H9a,0.95,0.1,46.052,1.303,0.139,4.074
H9a,0.95,0.2,58.468,1.303,0.139,8.626
H9a,0.95,0.3,66.463,1.303,0.139,12.198
H9b,0.5,-1.0,40.789,20.71,4.655,0.0
H9b,0.5,0.1,64.842,20.71,4.655,1.76
H9b,0.5,0.2,71.119,20.71,4.655,5.278
H9b,0.5,0.3,75.139,20.71,4.655,9.105
H9b,0.6,-1.0,36.43,15.603,3.196,0.0
H9b,0.6,0.1,61.388,15.603,3.196,1.802
