subset,tau_none,tau_rest,cost_red,none_wrong,split_lost,rect_off_wrong
var-thresh,0.5,-1.0,75.459,88.055,52.593,0.0
var-thresh,0.5,0.1,93.768,88.055,52.593,35.128
var-thresh,0.5,0.2,93.768,88.055,52.593,35.128
var-thresh,0.5,0.3,93.768,88.055,52.593,35.128
var-thresh,0.6,-1.0,70.342,85.456,45.231,0.0
var-thresh,0.6,0.1,92.899,85.456,45.231,39.859
var-thresh,0.6,0.2,92.899,85.456,45.231,39.859
var-thresh,0.6,0.3,92.899,85.456,45.231,39.859
var-thresh,0.7,-1.0,65.289,82.308,38.507,0.0
var-thresh,0.7,0.1,91.99,82.308,38.507,43.883
var-thresh,0.7,0.2,91.99,82.308,38.507,43.883
var-thresh,0.7,0.3,91.99,82.308,38.507,43.883
var-thresh,0.8,-1.0,59.269,78.734,31.617,0.0
var-thresh,0.8,0.1,90.859,78.734,31.617,47.397
var-thresh,0.8,0.2,90.859,78.734,31.617,47.397
var-thresh,0.8,0.3,90.859,78.734,31.617,47.397
var-thresh,0.85,-1.0,54.611,76.325,28.05,0.0
var-thresh,0.85,0.1,90.014,76.325,28.05,49.179
var-thresh,0.85,0.2,90.014,76.325,28.05,49.179
var-thresh,0.85,0.3,90.014,76.325,28.05,49.179
var-thresh,0.9,-1.0,43.996,72.434,22.55,0.0
var-thresh,0.9,0.1,88.251,72.434,22.55,50.35
var-thresh,0.9,0.2,88.251,72.434,22.55,50.35
var-thresh,0.9,0.3,88.251,72.434,22.55,50.35
var-thresh,0.95,-1.0,24.886,62.551,10.863,0.0
var-thresh,0.95,0.1,84.684,62.551,10.863,52.909
var-thresh,0.95,0.2,84.684,62.551,10.863,52.909
var-thresh,0.95,0.3,84.684,62.551,10.863,52.909
variance,0.5,-1.0,4.374,31.374,0.432,0.0
variance,0.5,0.1,43.095,31.374,0.432,8.913
variance,0.5,0.2,57.425,31.374,0.432,8.056
variance,0.5,0.3,57.425,31.374,0.432,8.056
variance,0.6,-1.0,3.756,30.15,0.381,0.0
variance,0.6,0.1,42.477,30.15,0.381,8.913
variance,0.6,0.2,56.808,30.15,0.381,8.056
variance,0.6,0.3,56.808,30.15,0.381,8.056
variance,0.7,-1.0,3.128,29.004,0.307,0.0
variance,0.7,0.1,41.849,29.004,0.307,8.913
variance,0.7,0.2,56.179,29.004,0.307,8.056
variance,0.7,0.3,56.28,29.004,0.307,8.387
variance,0.8,-1.0,2.386,27.266,0.236,0.0
variance,0.8,0.1,41.107,27.266,0.236,8.913
variance,0.8,0.2,55.498,27.266,0.236,8.207
variance,0.8,0.3,56.077,27.266,0.236,9.897
variance,0.85,-1.0,1.954,25.684,0.192,0.0
variance,0.85,0.1,40.675,25.684,0.192,8.913
variance,0.85,0.2,55.38,25.684,0.192,9.113
variance,0.85,0.3,55.96,25.684,0.192,10.689
variance,0.9,-1.0,1.381,22.678,0.145,0.0
variance,0.9,0.1,40.132,22.678,0.145,9.036
variance,0.9,0.2,55.224,22.678,0.145,10.163
