pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
random,0.5,66.952,50.147,433463180860.0,2061.2086,1.6361,135779,93.2
random,0.6,57.345,40.309,353474882920.0,1802.4886,1.3342,139588,93.6
random,0.7,45.948,30.248,266837717900.0,1461.0119,1.0072,131711,93.9
random,0.75,39.452,25.02,220618972600.0,1257.3202,0.8327,121960,94.1
random,0.8,32.592,20.046,177345633962.0,1046.3164,0.6694,107824,94.2
random,0.85,25.274,15.023,134772096002.0,819.8866,0.5087,88988,94.3
random,0.9,17.444,9.964,90015851622.0,564.7435,0.3398,64888,94.3
random,0.93,12.389,6.97,59974680296.0,397.3919,0.2264,47912,94.4
random,0.95,9.046,4.984,42794822496.0,289.935,0.1615,35561,94.6
random,0.97,5.435,2.987,25603204728.0,174.2739,0.0966,22094,94.8
random,0.99,1.833,0.96,8501274897.0,55.1735,0.0321,7683,94.9
variance,0.5,84.946,62.513,360337198722.0,1808.9732,1.3601,90791,93.2
variance,0.6,81.438,54.843,280450228406.0,1573.817,1.0585,99272,93.8
variance,0.7,77.624,47.899,217833738344.0,1331.0455,0.8222,106764,94.2
variance,0.75,75.378,44.519,188114349463.0,1201.3978,0.71,110049,94.3
variance,0.8,72.53,40.569,156150228935.0,1055.4667,0.5894,114616,94.4
variance,0.85,68.593,36.175,121279566474.0,887.8135,0.4578,120469,94.5
variance,0.9,62.197,30.336,75404601260.0,677.7733,0.2846,130075,94.6
variance,0.93,55.96,25.554,48100222085.0,520.4134,0.1816,135396,94.4
variance,0.95,50.426,22.156,34554793879.0,419.1554,0.1304,132383,94.0
variance,0.97,41.439,18.404,23249469053.0,321.9132,0.0878,121731,92.7
variance,0.99,5.845,1.914,180912638.0,10.3543,0.0007,36431,91.6
pixels24,0.5,38.483,5.923,9907567352.0,76.2581,0.0374,199869,96.5
pixels24,0.6,32.307,4.593,4980574327.0,36.7888,0.0188,159065,96.6
pixels24,0.7,24.903,3.327,2156840947.0,16.1297,0.0081,136418,97.0
pixels24,0.75,19.58,2.378,1267219814.0,10.4069,0.0048,128142,97.5
pixels24,0.8,14.146,1.615,501173126.0,6.4235,0.0019,111957,97.9
pixels24,0.85,10.026,1.089,133588521.0,2.2915,0.0005,83752,98.0
pixels24,0.9,5.37,0.323,26911921.0,1.1839,0.0001,51775,98.6
pixels24,0.93,3.332,0.15,20972839.0,0.6193,0.0001,29971,98.8
pixels24,0.95,2.073,0.059,2144219.0,0.3989,0.0,17346,99.6
pixels24,0.97,0.805,0.001,0.0,0.0,0.0,4793,100.0
pixels24,0.99,0.0,0.0,0.0,0.0,0.0,0,0.0
H9a,0.5,41.875,4.701,7712098276.0,99.1966,0.0291,264650,97.8
H9a,0.6,37.537,3.743,4264705669.0,61.1154,0.0161,261318,97.7
H9a,0.7,33.234,2.854,2304498660.0,35.8636,0.0087,250199,97.8
H9a,0.75,30.962,2.364,1811545142.0,27.9911,0.0068,239823,97.9
H9a,0.8,28.539,1.859,1305846256.0,19.9775,0.0049,225675,98.1
H9a,0.85,25.786,1.36,992256379.0,14.45,0.0037,205696,98.3
H9a,0.9,22.341,0.907,330943613.0,7.8551,0.0012,176755,98.6
H9a,0.93,19.675,0.651,247258474.0,4.953,0.0009,154892,98.8
H9a,0.95,16.795,0.489,88368002.0,2.62,0.0003,137392,99.0
H9a,0.97,11.998,0.248,14335853.0,0.8876,0.0001,111577,99.3
H9a,0.99,4.925,0.031,1532831.0,0.2193,0.0,56635,99.8
H9a_otimo,0.5,34.614,3.077,3674797140.0,38.9782,0.0139,195673,97.9
H9a_otimo,0.6,29.532,1.883,2184966535.0,23.2713,0.0082,180849,98.3
H9a_otimo,0.7,24.763,1.01,1340050671.0,15.1709,0.0051,159182,98.8
H9a_otimo,0.75,22.555,0.718,993943734.0,9.8767,0.0038,146324,99.0
H9a_otimo,0.8,20.378,0.528,835118966.0,7.3099,0.0032,132414,99.1
H9a_otimo,0.85,18.181,0.346,548984772.0,5.0268,0.0021,116496,99.3
H9a_otimo,0.9,15.518,0.238,157285673.0,1.4461,0.0006,96992,99.5
H9a_otimo,0.93,13.107,0.161,39029108.0,0.7362,0.0001,81744,99.6
H9a_otimo,0.95,10.532,0.107,5112400.0,0.2962,0.0,69270,99.7
H9a_otimo,0.97,6.38,0.065,2239448.0,0.1424,0.0,53105,99.7
H9a_otimo,0.99,2.173,0.004,748067.0,0.0969,0.0,24349,99.9
H9c,0.5,44.371,3.045,7165463684.0,82.4755,0.027,239744,100.0
H9c,0.6,41.418,2.043,4860763852.0,53.7513,0.0183,236948,100.0
H9c,0.7,38.405,1.274,2729100776.0,28.5463,0.0103,231323,100.0
H9c,0.75,36.78,0.99,2217036633.0,22.837,0.0084,226668,100.0
H9c,0.8,34.967,0.736,1635260148.0,17.2618,0.0062,220373,100.0
H9c,0.85,32.883,0.535,1217503381.0,12.0411,0.0046,211022,100.0
H9c,0.9,30.218,0.381,690682937.0,7.0743,0.0026,196119,100.0
H9c,0.93,28.095,0.304,423312718.0,4.399,0.0016,183618,100.0
H9c,0.95,26.223,0.241,338028246.0,3.1326,0.0013,173054,100.0
H9c,0.97,23.621,0.164,167115407.0,1.6695,0.0006,159469,100.0
H9c,0.99,18.961,0.045,35892425.0,0.241,0.0001,138165,100.0
