pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
random,0.5,67.078,49.992,2098719746311.0,10236.4441,1.6451,649862,93.5
random,0.6,57.38,39.921,1707797321486.0,8917.3731,1.3387,670317,94.0
random,0.7,45.951,29.882,1297012644769.0,7243.9686,1.0167,630547,94.3
random,0.75,39.643,24.951,1098348070480.0,6306.5861,0.861,583763,94.4
random,0.8,32.768,19.946,892504001120.0,5262.9218,0.6996,516298,94.6
random,0.85,25.381,14.944,669696620336.0,4107.0661,0.525,426471,94.6
random,0.9,17.489,9.982,448141619271.0,2836.4515,0.3513,311432,94.7
random,0.93,12.476,6.984,313423122885.0,2026.8912,0.2457,229835,94.8
random,0.95,9.036,4.999,225984617974.0,1479.7875,0.1771,170123,94.9
random,0.97,5.524,3.001,138576312106.0,910.7925,0.1086,105313,94.9
random,0.99,1.859,0.997,43963168008.0,303.0554,0.0345,36088,95.0
variance,0.5,84.334,62.104,1748533592475.0,8980.4963,1.3706,441237,93.7
variance,0.6,80.75,54.2,1376294896758.0,7809.1427,1.0788,478702,94.1
variance,0.7,76.78,47.284,1064084943937.0,6596.3036,0.8341,513003,94.4
variance,0.75,74.407,43.86,910759471100.0,5929.3083,0.7139,530767,94.4
variance,0.8,71.405,40.089,755578763718.0,5245.9365,0.5923,553015,94.5
variance,0.85,67.204,35.681,582133202722.0,4441.3862,0.4563,583908,94.6
variance,0.9,60.291,29.767,370482679403.0,3426.2336,0.2904,635680,94.6
variance,0.93,53.905,25.195,246715945869.0,2705.6051,0.1934,657933,94.4
variance,0.95,48.265,21.876,183755913157.0,2205.6457,0.144,640471,93.9
variance,0.97,39.46,18.047,128188636144.0,1696.4734,0.1005,579763,92.7
variance,0.99,6.141,2.635,1255373014.0,71.6344,0.001,196376,90.7
pixels24,0.5,35.41,5.553,47727767599.0,382.083,0.0374,962769,96.6
pixels24,0.6,29.272,4.166,24799169180.0,196.9908,0.0194,763239,96.8
pixels24,0.7,22.587,2.897,10112831923.0,88.7147,0.0079,636952,97.2
pixels24,0.75,18.198,2.155,5244571414.0,51.1794,0.0041,583652,97.6
pixels24,0.8,13.631,1.486,2002063770.0,26.3378,0.0016,497488,98.0
pixels24,0.85,9.156,0.852,849828667.0,12.4531,0.0007,371326,98.3
pixels24,0.9,5.058,0.287,186041471.0,5.317,0.0001,224649,98.8
pixels24,0.93,3.172,0.121,70157046.0,1.8801,0.0001,130498,99.0
pixels24,0.95,2.056,0.074,6002988.0,0.5488,0.0,76815,99.3
pixels24,0.97,0.799,0.015,0.0,0.0,0.0,21979,99.6
pixels24,0.99,0.0,0.0,0.0,0.0,0.0,1,100.0
convnext_ce,0.5,25.513,3.884,27958239210.0,234.0091,0.0219,558812,96.2
convnext_ce,0.6,22.321,3.347,18588862556.0,147.2765,0.0146,449496,95.9
convnext_ce,0.7,18.748,2.776,10607433757.0,81.7706,0.0083,333808,95.3
convnext_ce,0.75,16.321,2.366,7381274464.0,58.6869,0.0058,276894,95.2
convnext_ce,0.8,11.349,1.357,3925491625.0,32.6597,0.0031,235141,96.5
convnext_ce,0.85,5.074,0.301,1099037097.0,12.858,0.0009,195174,98.7
convnext_ce,0.9,2.681,0.067,145429810.0,3.1617,0.0001,125342,99.3
convnext_ce,0.93,1.488,0.007,21215555.0,0.5496,0.0,75178,99.6
convnext_ce,0.95,0.703,0.002,20467488.0,0.4527,0.0,38523,99.8
convnext_ce,0.97,0.175,0.0,0.0,0.0,0.0,10443,99.9
