pruner,reg_frac,reg_rel,split_lost,cr_min,cr_max
random,0.63417,4829.85753,18.07201,1.85921,67.07761
variance,0.07223,1235.13988,13.67102,6.14103,84.33435
pixels24,0.02157,218.93742,4.33028,6e-05,35.41034
convnext_ce,nan,nan,nan,0.00101,25.51336
convnext_regret,0.03784,1329.29492,7.81884,0.24924,32.71216
H9a,0.00727,169.83464,2.5884,4.73512,39.97985
H9a_b1,0.00749,185.7366,1.62749,6.9475,41.30937
H9a_cw,0.01242,173.68333,2.34811,2.148,32.47094
H9c,0.0035,65.45313,0.40583,17.57396,42.55526
regret,nan,nan,nan,33.70452,83.04863
GNN,0.00019,34.58287,0.37626,11.338,43.13075
GNN_causal,0.0054,156.4041,2.66086,6.39866,40.05707
