pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
random,0.5,67.078,49.992,2098719746311.0,10236.4441,1.6451,649862,93.5
random,0.6,57.38,39.921,1707797321486.0,8917.3731,1.3387,670317,94.0
random,0.7,45.951,29.882,1297012644769.0,7243.9686,1.0167,630547,94.3
random,0.75,39.643,24.951,1098348070480.0,6306.5861,0.861,583763,94.4
random,0.8,32.768,19.946,892504001120.0,5262.9218,0.6996,516298,94.6
random,0.85,25.381,14.944,669696620336.0,4107.0661,0.525,426471,94.6
random,0.9,17.489,9.982,448141619271.0,2836.4515,0.3513,311432,94.7
random,0.93,12.476,6.984,313423122885.0,2026.8912,0.2457,229835,94.8
random,0.95,9.036,4.999,225984617974.0,1479.7875,0.1771,170123,94.9
random,0.97,5.524,3.001,138576312106.0,910.7925,0.1086,105313,94.9
random,0.99,1.859,0.997,43963168008.0,303.0554,0.0345,36088,95.0
variance,0.5,84.334,62.104,1748533592475.0,8980.4963,1.3706,441237,93.7
variance,0.6,80.75,54.2,1376294896758.0,7809.1427,1.0788,478702,94.1
variance,0.7,76.78,47.284,1064084943937.0,6596.3036,0.8341,513003,94.4
variance,0.75,74.407,43.86,910759471100.0,5929.3083,0.7139,530767,94.4
variance,0.8,71.405,40.089,755578763718.0,5245.9365,0.5923,553015,94.5
variance,0.85,67.204,35.681,582133202722.0,4441.3862,0.4563,583908,94.6
variance,0.9,60.291,29.767,370482679403.0,3426.2336,0.2904,635680,94.6
variance,0.93,53.905,25.195,246715945869.0,2705.6051,0.1934,657933,94.4
variance,0.95,48.265,21.876,183755913157.0,2205.6457,0.144,640471,93.9
variance,0.96,44.503,20.089,155667906129.0,1949.9991,0.122,618235,93.5
variance,0.965,42.232,19.131,142526251534.0,1825.4,0.1117,600822,93.1
variance,0.97,39.46,18.047,128188636144.0,1696.4734,0.1005,579763,92.7
variance,0.972,38.072,17.541,120573808758.0,1634.4953,0.0945,570675,92.5
variance,0.974,36.44,16.836,112557974456.0,1557.4941,0.0882,560506,92.4
variance,0.976,33.73,15.804,95078398469.0,1456.4696,0.0745,555863,92.2
variance,0.978,28.45,13.292,60735951211.0,1242.4843,0.0476,550692,92.2
variance,0.98,25.204,10.993,48366569639.0,944.2641,0.0379,494213,91.8
variance,0.982,22.594,9.589,40992909439.0,755.0802,0.0321,443562,91.4
variance,0.984,18.889,8.204,27995265523.0,571.1711,0.0219,407800,91.2
variance,0.986,14.491,6.409,14661681285.0,382.5537,0.0115,356259,91.0
variance,0.988,9.351,4.402,4241744852.0,196.8462,0.0033,292076,91.0
variance,0.99,6.141,2.635,1255373014.0,71.6344,0.001,196376,90.7
variance,0.992,3.84,1.411,366150408.0,22.8664,0.0003,106051,90.1
variance,0.995,2.216,0.503,112934804.0,8.1483,0.0001,30065,88.9
variance,0.998,1.728,0.154,11168078.0,1.3874,0.0,14834,93.3
variance,0.999,1.026,0.059,7371611.0,0.9535,0.0,10115,95.8
pixels24,0.5,35.41,5.553,47727767599.0,382.083,0.0374,962769,96.6
pixels24,0.6,29.272,4.166,24799169180.0,196.9908,0.0194,763239,96.8
pixels24,0.7,22.587,2.897,10112831923.0,88.7147,0.0079,636952,97.2
pixels24,0.75,18.198,2.155,5244571414.0,51.1794,0.0041,583652,97.6
pixels24,0.8,13.631,1.486,2002063770.0,26.3378,0.0016,497488,98.0
pixels24,0.85,9.156,0.852,849828667.0,12.4531,0.0007,371326,98.3
pixels24,0.9,5.058,0.287,186041471.0,5.317,0.0001,224649,98.8
