pruner,reg_frac,reg_rel,split_lost,cr_min,cr_max
random,0.63417,4829.85753,18.07201,1.85921,67.07761
variance,0.05551,1305.31184,14.02969,1.02637,84.33435
pixels24,0.02157,218.93742,4.33028,6e-05,35.41034
convnext_ce,nan,nan,nan,0.00101,25.51336
convnext_ce_h9,0.04421,758.42407,5.69953,0.32422,31.9669
convnext_ce_h9_f256,0.04442,984.49099,6.36424,0.09692,33.41584
convnext_regret,0.03784,1329.29492,7.81884,0.24924,32.71216
H9a,0.00727,169.83464,2.5884,4.73512,39.97985
H9a_b1,0.00749,185.7366,1.62749,6.9475,41.30937
H9a_cw,0.01242,173.68333,2.34811,2.148,32.47094
H9c,0.0035,65.45313,0.40583,17.57396,42.55526
regret,nan,nan,nan,33.70452,83.04863
GNN,0.00019,34.58284,0.37626,11.338,43.13075
GNN_causal,0.0054,156.4041,2.66086,6.39866,40.05707
RPP_A_s0,0.00995,267.04547,4.11246,3.74895,42.4673
RPP_A_s1,0.0082,256.25311,4.08763,3.71808,42.45511
RPP_A_s2,0.00915,256.19876,3.80724,3.71586,41.54505
RPP_A_B_s0,0.00684,189.04267,2.4972,4.62154,40.59755
RPP_A_B_s1,0.0068,172.78198,2.51939,4.71571,40.32769
RPP_A_B_s2,0.00722,182.65902,2.63038,4.63626,40.11108
RPP_A_C_s0,0.01794,277.24958,4.03715,4.34279,42.64876
RPP_A_C_s1,0.01092,251.08634,4.1274,3.68121,41.77301
RPP_A_C_s2,0.00777,240.48196,4.21798,3.89009,43.16085
RPP_A_B_C_s0,0.00791,183.31159,2.3278,4.74898,40.52982
RPP_A_B_C_s1,0.00762,179.51113,2.57415,4.93506,39.63469
RPP_A_B_C_s2,0.0079,189.03859,2.47085,4.55959,39.92377
