pruner,tau,cost_red,split_lost,reg_abs,reg_rel,reg_frac_pct,none_forced,reg_cov_pct
RPP_A_s0,0.5,42.467,6.959,49390612873.0,692.5968,0.0387,1167209,97.2
RPP_A_s0,0.6,36.983,5.619,24470096973.0,421.1061,0.0192,1188830,97.1
RPP_A_s0,0.7,29.172,3.934,11299351785.0,248.7866,0.0089,1237200,97.4
RPP_A_s0,0.75,25.302,3.231,7475410162.0,192.5877,0.0059,1222639,97.5
RPP_A_s0,0.8,21.918,2.507,5002439884.0,141.5298,0.0039,1165181,97.7
RPP_A_s0,0.85,18.811,1.836,3023833554.0,92.4608,0.0024,1056156,98.0
RPP_A_s0,0.9,15.499,1.236,1736151391.0,55.2591,0.0014,902333,98.4
RPP_A_s0,0.93,13.133,0.927,1087239719.0,34.8943,0.0009,781101,98.7
RPP_A_s0,0.95,11.171,0.704,771760451.0,24.3415,0.0006,674253,98.9
RPP_A_s0,0.97,8.519,0.407,423941908.0,13.4709,0.0003,519207,99.2
RPP_A_s0,0.99,3.749,0.038,162900079.0,3.388,0.0001,219701,99.8
RPP_A_s1,0.5,42.455,6.822,43584555728.0,670.913,0.0342,1263902,97.3
RPP_A_s1,0.6,36.737,5.508,20433646903.0,407.2804,0.016,1295541,97.2
RPP_A_s1,0.7,29.115,3.901,9154073836.0,236.4168,0.0072,1329090,97.5
RPP_A_s1,0.75,25.153,3.167,6324554803.0,184.7885,0.005,1308803,97.6
RPP_A_s1,0.8,21.91,2.494,4016463146.0,133.3248,0.0031,1239042,97.8
RPP_A_s1,0.85,18.933,1.881,2775063418.0,93.0283,0.0022,1116887,98.1
RPP_A_s1,0.9,15.567,1.255,1738668144.0,58.1738,0.0014,941080,98.5
RPP_A_s1,0.93,13.151,0.906,1130731609.0,37.8401,0.0009,805905,98.8
RPP_A_s1,0.95,11.149,0.66,790720128.0,26.975,0.0006,689287,99.0
RPP_A_s1,0.97,8.522,0.36,431034739.0,14.6601,0.0003,531378,99.3
RPP_A_s1,0.99,3.718,0.031,160603001.0,4.5753,0.0001,229867,99.8
RPP_A_s2,0.5,41.545,6.853,47471077479.0,683.7208,0.0372,1217368,97.2
RPP_A_s2,0.6,36.163,5.241,21574612917.0,399.044,0.0169,1234348,97.3
RPP_A_s2,0.7,29.124,3.604,10258912625.0,235.9037,0.008,1250985,97.6
