rung,seed,dim,n_features,n,train_acc
A,0,64,24,120000,0.7814
A,0,32,24,424579,0.72611
A,0,16,24,1316179,0.84549
A,1,64,24,120000,0.78029
A,1,32,24,424579,0.72604
A,1,16,24,1316179,0.84452
A,2,64,24,120000,0.7785
A,2,32,24,424579,0.72657
A,2,16,24,1316179,0.84459
A_B,0,64,32,120000,0.81405
A_B,0,32,32,424579,0.73408
A_B,0,16,32,1316179,0.84724
A_B,1,64,32,120000,0.81498
A_B,1,32,32,424579,0.73354
A_B,1,16,32,1316179,0.84781
A_B,2,64,32,120000,0.81612
A_B,2,32,32,424579,0.73274
A_B,2,16,32,1316179,0.84716
A_C,0,64,28,120000,0.78479
A_C,0,32,28,424579,0.72982
A_C,0,16,28,1316179,0.84646
A_C,1,64,28,120000,0.78447
A_C,1,32,28,424579,0.73002
A_C,1,16,28,1316179,0.84479
A_C,2,64,28,120000,0.78369
A_C,2,32,28,424579,0.72802
A_C,2,16,28,1316179,0.84417
A_B_C,0,64,36,120000,0.81666
A_B_C,0,32,36,424579,0.73557
A_B_C,0,16,36,1316179,0.84851
A_B_C,1,64,36,120000,0.81618
A_B_C,1,32,36,424579,0.73502
A_B_C,1,16,36,1316179,0.84738
A_B_C,2,64,36,120000,0.81687
A_B_C,2,32,36,424579,0.73548
A_B_C,2,16,36,1316179,0.84801
