cls,lo,hi,count,conf,freq
NONE,0.0,0.1,280464,0.03766,0.03052
NONE,0.1,0.2,140560,0.14712,0.13637
NONE,0.2,0.3,108590,0.24872,0.2625
NONE,0.3,0.4,98509,0.34964,0.38883
NONE,0.4,0.5,96697,0.45019,0.50796
NONE,0.5,0.6,101959,0.55059,0.61166
NONE,0.6,0.7,113937,0.65135,0.71138
NONE,0.7,0.8,137211,0.75171,0.7846
NONE,0.8,0.9,195359,0.85407,0.85663
NONE,0.9,1.0,543107,0.96454,0.9556
SPLIT,0.0,0.1,1293207,0.01818,0.02007
SPLIT,0.1,0.2,141086,0.14269,0.16013
SPLIT,0.2,0.3,67740,0.24514,0.25886
SPLIT,0.3,0.4,43884,0.34787,0.35788
SPLIT,0.4,0.5,37657,0.44947,0.45128
SPLIT,0.5,0.6,36481,0.55006,0.53535
SPLIT,0.6,0.7,36670,0.65028,0.62822
SPLIT,0.7,0.8,37912,0.75099,0.7519
SPLIT,0.8,0.9,47029,0.85269,0.87357
SPLIT,0.9,1.0,74727,0.95905,0.96523
