group,cls,tau,precision,coverage,coverage_pct
all,NONE,0.5,0.85877,1091573,60.09564
all,NONE,0.6,0.88423,989614,54.48237
all,NONE,0.7,0.90673,875677,48.20967
all,NONE,0.8,0.92942,738466,40.65563
all,NONE,0.85,0.94198,652683,35.93292
all,NONE,0.9,0.9556,543107,29.9003
all,NONE,0.95,0.97217,382145,21.03867
dim16,NONE,0.5,0.86491,901085,68.87455
dim16,NONE,0.6,0.88736,825227,63.07633
dim16,NONE,0.7,0.90774,735542,56.22125
dim16,NONE,0.8,0.92932,621790,47.5266
dim16,NONE,0.85,0.94147,548804,41.9479
dim16,NONE,0.9,0.95502,454041,34.70468
dim16,NONE,0.95,0.97204,316613,24.20035
dim32,NONE,0.5,0.82881,161432,40.69701
dim32,NONE,0.6,0.8642,140070,35.31165
dim32,NONE,0.7,0.8963,119287,30.07225
dim32,NONE,0.8,0.92605,98477,24.82605
dim32,NONE,0.85,0.94221,86964,21.92362
dim32,NONE,0.9,0.95748,73785,18.6012
dim32,NONE,0.95,0.97321,55327,13.94794
dim64,NONE,0.5,0.83515,29056,26.0765
dim64,NONE,0.6,0.89365,24317,21.82345
dim64,NONE,0.7,0.93045,20848,18.71018
dim64,NONE,0.8,0.9511,18199,16.33281
dim64,NONE,0.85,0.9572,16915,15.18048
dim64,NONE,0.9,0.96361,15281,13.71403
dim64,NONE,0.95,0.9705,10205,9.15854
all,SPLIT,0.5,0.79154,232819,12.81766
all,SPLIT,0.6,0.83914,196338,10.80922
all,SPLIT,0.7,0.88758,159668,8.79039
all,SPLIT,0.8,0.92983,121756,6.70317
all,SPLIT,0.85,0.94765,100248,5.51907
all,SPLIT,0.9,0.96523,74727,4.11403
all,SPLIT,0.95,0.9841,46042,2.5348
dim16,SPLIT,0.5,0.65727,20506,1.56738
dim16,SPLIT,0.6,0.71295,14123,1.07949
dim16,SPLIT,0.7,0.75757,9153,0.69961
dim16,SPLIT,0.8,0.79487,4675,0.35733
dim16,SPLIT,0.85,0.81855,2706,0.20683
dim16,SPLIT,0.9,0.84603,1195,0.09134
dim16,SPLIT,0.95,0.79878,164,0.01254
dim32,SPLIT,0.5,0.78315,136152,34.32392
dim32,SPLIT,0.6,0.83174,112690,28.40915
dim32,SPLIT,0.7,0.88477,88119,22.2148
dim32,SPLIT,0.8,0.93057,62721,15.81196
dim32,SPLIT,0.85,0.94795,48225,12.15752
dim32,SPLIT,0.9,0.96547,31824,8.02283
dim32,SPLIT,0.95,0.98316,15555,3.92142
dim64,SPLIT,0.5,0.84268,76161,68.35119
dim64,SPLIT,0.6,0.87676,69525,62.39567
dim64,SPLIT,0.7,0.91062,62396,55.9977
dim64,SPLIT,0.8,0.94058,54360,48.78574
dim64,SPLIT,0.85,0.95444,49317,44.25987
dim64,SPLIT,0.9,0.96847,41708,37.43112
dim64,SPLIT,0.95,0.98559,30323,27.21358
