tau_none,tau_split,tau_rest,node_reduction_pct,cost_reduction_pct,none_forced_wrong_pct,true_split_lost_pct,true_rect_lost_pct,rect_off_coverage_pct,rect_off_wrong_pct,label
0.60,0.70,-1.00,42.10713738071041,65.84243491652433,14.646356595781096,2.5620542082738944,19.756850852387327,0.0,0.0,
0.60,0.70,0.10,42.10713738071041,68.38060438866763,14.646356595781096,2.5620542082738944,19.756850852387327,0.9671545285462495,3.7521815008726005,
0.60,0.70,0.20,42.10713738071041,70.36476378384074,14.646356595781096,2.5620542082738944,19.756850852387327,1.904121994683182,11.213391974361597,
0.60,0.70,0.30,42.10713738071041,73.89322668592052,14.646356595781096,2.5620542082738944,19.756850852387327,4.558700852703365,19.966677109737688,
0.60,0.90,-1.00,42.10713738071041,55.722842627941944,14.646356595781096,2.5620542082738944,19.756850852387327,0.0,0.0,
0.60,0.90,0.10,42.10713738071041,62.54047534335049,14.646356595781096,2.5620542082738944,19.756850852387327,2.277792384420879,4.500242254966227,
0.60,0.90,0.20,42.10713738071041,68.35821552696461,14.646356595781096,2.5620542082738944,19.756850852387327,5.7077567766709185,9.782534519232957,
0.60,0.90,0.30,42.10713738071041,72.7688275427447,14.646356595781096,2.5620542082738944,19.756850852387327,9.095978628858182,15.109125426438471,
0.70,0.70,-1.00,36.66290582512011,62.00463887031092,10.721639419919413,1.8787655144517694,13.798683961915403,0.0,0.0,
0.70,0.70,0.10,36.66290582512011,65.01658662198216,10.721639419919413,1.8787655144517694,13.798683961915403,1.2051033993571545,4.103749357986646,
0.70,0.70,0.20,36.66290582512011,67.25462974073035,10.721639419919413,1.8787655144517694,13.798683961915403,2.3378510784344675,10.976675227026025,
0.70,0.70,0.30,36.66290582512011,71.40194256606947,10.721639419919413,1.8787655144517694,13.798683961915403,5.832836622764261,20.342328384817005,
0.70,0.90,-1.00,36.66290582512011,51.87836059860834,10.721639419919413,1.8787655144517694,13.798683961915403,0.0,0.0,
0.70,0.90,0.10,36.66290582512011,59.174445938797376,10.721639419919413,1.8787655144517694,13.798683961915403,2.460527757300717,4.5858174225844595,
0.70,0.90,0.20,36.66290582512011,65.2472718204801,10.721639419919413,1.8787655144517694,13.798683961915403,5.971296628124402,9.808860418351058,
0.70,0.90,0.30,36.66290582512011,70.2768005358803,10.721639419919413,1.8787655144517694,13.798683961915403,10.165823960822689,16.02756907490167,
0.80,0.70,-1.00,29.972128180303915,57.71476268829108,7.294197734334794,1.2342975804942136,8.437144357427298,0.0,0.0,
0.80,0.70,0.10,29.972128180303915,61.18214191437392,7.294197734334794,1.2342975804942136,8.437144357427298,1.5530369424102435,4.602494452521233,
0.80,0.70,0.20,29.972128180303915,64.11232201230563,7.294197734334794,1.2342975804942136,8.437144357427298,3.832028638909107,11.973206809935808,
0.80,0.70,0.30,29.972128180303915,70.62891019935874,7.294197734334794,1.2342975804942136,8.437144357427298,13.25054589206934,21.26765615891664,
0.80,0.90,-1.00,29.972128180303915,47.58206136538877,7.294197734334794,1.2342975804942136,8.437144357427298,0.0,0.0,
0.80,0.90,0.10,29.972128180303915,55.3386364893163,7.294197734334794,1.2342975804942136,8.437144357427298,2.764961898961691,4.800687654453637,
0.80,0.90,0.20,29.972128180303915,62.10411686697836,7.294197734334794,1.2342975804942136,8.437144357427298,7.327698637869313,10.581624461796688,
0.80,0.90,0.30,29.972128180303915,69.50305449681403,7.294197734334794,1.2342975804942136,8.437144357427298,17.41786366809762,18.623421014030505,
0.85,0.70,-1.00,25.505157940311612,54.99120534461297,5.530700761455066,0.8623330528139381,5.775738351897454,0.0,0.0,
0.85,0.70,0.10,25.505157940311612,58.82011178780142,5.530700761455066,0.8623330528139381,5.775738351897454,1.8691583337122364,5.074068298768127,
0.85,0.70,0.20,25.505157940311612,63.58160019114733,5.530700761455066,0.8623330528139381,5.775738351897454,8.936051642749135,14.063641582298299,
0.85,0.70,0.30,25.505157940311612,70.11680228875977,5.530700761455066,0.8623330528139381,5.775738351897454,18.22005295317107,19.65344364779995,
0.85,0.90,-1.00,25.505157940311612,44.85424076842897,5.530700761455066,0.8623330528139381,5.775738351897454,0.0,0.0,
0.85,0.90,0.10,25.505157940311612,52.975932338852466,5.530700761455066,0.8623330528139381,5.775738351897454,3.064043957427609,5.0663013907120975,
0.85,0.90,0.20,25.505157940311612,61.57292135101098,5.530700761455066,0.8623330528139381,5.775738351897454,12.371828726454085,12.671742776908724,
0.85,0.90,0.30,25.505157940311612,68.99047289140599,5.530700761455066,0.8623330528139381,5.775738351897454,22.314771742919465,17.920612322200597,
0.90,0.70,-1.00,20.10985991930101,51.72597694337469,3.6016770070833264,0.4817239612936727,3.187028179096707,0.0,0.0,
0.90,0.70,0.10,20.10985991930101,56.344396993811706,3.6016770070833264,0.4817239612936727,3.187028179096707,3.072064641062026,6.763681082188973,
0.90,0.70,0.20,20.10985991930101,62.9475774266686,3.6016770070833264,0.4817239612936727,3.187028179096707,15.274633500495993,13.14830914977815,
0.90,0.70,0.30,20.10985991930101,69.50054203624079,3.6016770070833264,0.4817239612936727,3.187028179096707,24.437249892816318,17.60076267394986,
0.90,0.90,-1.00,20.10985991930101,41.580410737221456,3.6016770070833264,0.4817239612936727,3.187028179096707,0.0,0.0,
0.90,0.90,0.10,20.10985991930101,50.498594044592004,3.6016770070833264,0.4817239612936727,3.187028179096707,4.255750282913404,6.301447248076613,
0.90,0.90,0.20,20.10985991930101,60.937942849869,3.6016770070833264,0.4817239612936727,3.187028179096707,18.659691665889145,12.408239642928356,
0.90,0.90,0.30,20.10985991930101,68.37325690222376,3.6016770070833264,0.4817239612936727,3.187028179096707,28.46935977712663,16.555613640019303,
0.95,0.70,-1.00,13.986196383578777,47.310392175479926,1.7544530443474604,0.19237191439623744,1.1896945822390819,0.0,0.0,
0.95,0.70,0.10,13.986196383578777,55.538925923104934,1.7544530443474604,0.19237191439623744,1.1896945822390819,11.024144394679984,7.174903805695108,
0.95,0.70,0.20,13.986196383578777,62.205043075969584,1.7544530443474604,0.19237191439623744,1.1896945822390819,23.102712877196787,11.148069214598639,
0.95,0.70,0.30,13.986196383578777,68.77967661460545,1.7544530443474604,0.19237191439623744,1.1896945822390819,32.11094953496248,15.038629089383832,
0.95,0.90,-1.00,13.986196383578777,37.1124461746014,1.7544530443474604,0.19237191439623744,1.1896945822390819,0.0,0.0,
0.95,0.90,0.10,13.986196383578777,49.68655176263508,1.7544530443474604,0.19237191439623744,1.1896945822390819,12.233264293993578,6.9742155949052504,
0.95,0.90,0.20,13.986196383578777,60.1895718278881,1.7544530443474604,0.19237191439623744,1.1896945822390819,26.46293168682146,10.878848420083377,
0.95,0.90,0.30,13.986196383578777,67.64657150339673,1.7544530443474604,0.19237191439623744,1.1896945822390819,36.10297331161929,14.500376936735,
