cls,lo,hi,count,conf,freq
NONE,0.0,0.1,7955,0.04402,0.19648
NONE,0.1,0.2,5650,0.14847,0.46212
NONE,0.2,0.3,4607,0.24782,0.60234
NONE,0.3,0.4,4603,0.35106,0.66913
NONE,0.4,0.5,4641,0.45008,0.74747
NONE,0.5,0.6,4469,0.54842,0.82211
NONE,0.6,0.7,4253,0.65057,0.86833
NONE,0.7,0.8,4495,0.7515,0.89677
NONE,0.8,0.9,5827,0.85341,0.94062
NONE,0.9,1.0,17463,0.96641,0.9854
SPLIT,0.0,0.1,40070,0.02149,0.00606
SPLIT,0.1,0.2,6311,0.14389,0.05942
SPLIT,0.2,0.3,3398,0.24563,0.12301
SPLIT,0.3,0.4,2318,0.34865,0.19241
SPLIT,0.4,0.5,2003,0.44876,0.28008
SPLIT,0.5,0.6,1961,0.549,0.33758
SPLIT,0.6,0.7,1869,0.65017,0.46121
SPLIT,0.7,0.8,2372,0.75322,0.55101
SPLIT,0.8,0.9,2040,0.84704,0.58775
SPLIT,0.9,1.0,1621,0.94805,0.88032
