group,cls,tau,precision,coverage,coverage_pct
all,NONE,0.5,0.93371,36507,57.07518
all,NONE,0.6,0.94928,32038,50.08833
all,NONE,0.7,0.96167,27785,43.43918
all,NONE,0.8,0.97419,23290,36.41168
all,NONE,0.85,0.98089,20672,32.31868
all,NONE,0.9,0.9854,17463,27.30172
all,NONE,0.95,0.99003,12740,19.91776
dim16,NONE,0.5,0.94334,26758,60.86482
dim16,NONE,0.6,0.95632,23258,52.90358
dim16,NONE,0.7,0.96733,19960,45.40182
dim16,NONE,0.8,0.98014,16620,37.80452
dim16,NONE,0.85,0.98632,14689,33.41219
dim16,NONE,0.9,0.98959,12387,28.17597
dim16,NONE,0.95,0.99152,9321,21.20192
dim32,NONE,0.5,0.91574,7667,50.44079
dim32,NONE,0.6,0.9335,6887,45.30921
dim32,NONE,0.7,0.95014,6097,40.11184
dim32,NONE,0.8,0.96,5225,34.375
dim32,NONE,0.85,0.9685,4698,30.90789
dim32,NONE,0.9,0.97808,4015,26.41447
dim32,NONE,0.95,0.99349,2763,18.17763
dim64,NONE,0.5,0.87608,2082,43.375
dim64,NONE,0.6,0.92023,1893,39.4375
dim64,NONE,0.7,0.93692,1728,36.0
dim64,NONE,0.8,0.95709,1445,30.10417
dim64,NONE,0.85,0.9642,1285,26.77083
dim64,NONE,0.9,0.96418,1061,22.10417
dim64,NONE,0.95,0.95427,656,13.66667
all,SPLIT,0.5,0.55328,9863,15.41985
all,SPLIT,0.6,0.60681,7902,12.35402
all,SPLIT,0.7,0.65191,6033,9.43202
all,SPLIT,0.8,0.71729,3661,5.72362
all,SPLIT,0.85,0.78636,2551,3.98824
all,SPLIT,0.9,0.88032,1621,2.53428
all,SPLIT,0.95,0.93557,776,1.2132
dim16,SPLIT,0.5,0.35242,5011,11.39822
dim16,SPLIT,0.6,0.4015,3858,8.77556
dim16,SPLIT,0.7,0.46862,2836,6.45088
dim16,SPLIT,0.8,0.55962,1778,4.04431
dim16,SPLIT,0.85,0.64078,1236,2.81146
dim16,SPLIT,0.9,0.79324,769,1.7492
dim16,SPLIT,0.95,0.90441,408,0.92805
dim32,SPLIT,0.5,0.71812,3537,23.26974
dim32,SPLIT,0.6,0.77167,3057,20.11184
dim32,SPLIT,0.7,0.7909,2506,16.48684
dim32,SPLIT,0.8,0.83819,1372,9.02632
dim32,SPLIT,0.85,0.90228,921,6.05921
dim32,SPLIT,0.9,0.94649,598,3.93421
dim32,SPLIT,0.95,0.95238,231,1.51974
dim64,SPLIT,0.5,0.87529,1315,27.39583
dim64,SPLIT,0.6,0.89868,987,20.5625
dim64,SPLIT,0.7,0.90014,691,14.39583
dim64,SPLIT,0.8,0.94129,511,10.64583
dim64,SPLIT,0.85,0.97208,394,8.20833
dim64,SPLIT,0.9,0.98819,254,5.29167
dim64,SPLIT,0.95,1.0,137,2.85417
