epoch,train_loss,val_loss,headline_macro_f1,f1_64,f1_32,f1_16,acc_64,acc_32,acc_16,split_recall_64,split_recall_32,split_recall_16
0,2.0824,2.0379,0.1226,0.0997,0.1236,0.1244,0.3179,0.2446,0.5132,0.592,0.2658,0.0549
1,2.049,2.0597,0.1368,0.1139,0.1147,0.1461,0.3811,0.2268,0.4189,0.5769,0.4889,0.4381
2,2.0135,1.9551,0.1655,0.1618,0.1681,0.165,0.4726,0.3469,0.5024,0.5092,0.3833,0.5458
3,1.9565,1.9003,0.1743,0.1695,0.174,0.1749,0.4605,0.3824,0.5023,0.4995,0.4737,0.4471
4,1.914,1.8525,0.1809,0.2119,0.192,0.1744,0.5767,0.4605,0.4968,0.5405,0.61,0.6629
5,1.8919,1.8258,0.1867,0.2028,0.2035,0.1798,0.5496,0.4416,0.4865,0.5348,0.5687,0.6322
6,1.8733,1.8964,0.1779,0.1874,0.1698,0.1796,0.4864,0.372,0.4903,0.5636,0.618,0.5129
7,1.8598,1.8302,0.1859,0.2061,0.1827,0.1851,0.5214,0.4352,0.4996,0.5508,0.6424,0.5494
8,1.8427,1.8333,0.1939,0.2099,0.1874,0.1945,0.556,0.4266,0.5097,0.5845,0.5935,0.5665
9,1.8274,1.8432,0.1925,0.2105,0.206,0.1864,0.5601,0.4634,0.5202,0.5591,0.6378,0.6085
10,1.811,1.8241,0.1886,0.2014,0.1881,0.1875,0.5323,0.4314,0.5093,0.5565,0.5515,0.5935
11,1.7906,1.8059,0.1945,0.2048,0.1963,0.1929,0.5489,0.4463,0.5402,0.5489,0.5529,0.622
12,1.7652,1.8579,0.1894,0.1997,0.1925,0.1874,0.5212,0.4337,0.5141,0.5605,0.6168,0.5068
13,1.7342,1.7999,0.2034,0.2058,0.2009,0.204,0.5596,0.4472,0.5426,0.5573,0.5024,0.619
14,1.6958,1.8253,0.1997,0.2057,0.1987,0.1994,0.5492,0.4503,0.5428,0.5635,0.5898,0.6114
15,1.6477,1.8966,0.1891,0.2084,0.1983,0.1844,0.5416,0.4594,0.5072,0.5579,0.6201,0.5519
16,1.5972,1.8895,0.1883,0.2096,0.1951,0.1841,0.5661,0.4471,0.5014,0.5769,0.6354,0.6232
17,1.5406,1.9469,0.1893,0.2133,0.1934,0.1857,0.5661,0.4561,0.5008,0.5796,0.6452,0.5962
18,1.4829,1.9601,0.1959,0.2183,0.2011,0.1921,0.582,0.4504,0.5337,0.5943,0.5859,0.5966
19,1.4238,2.0342,0.1857,0.2162,0.1904,0.1814,0.5894,0.4254,0.5007,0.6441,0.6035,0.5416
20,1.3703,2.0407,0.1905,0.2133,0.1964,0.1865,0.591,0.4352,0.5258,0.6192,0.5839,0.5727
21,1.3164,2.078,0.1878,0.2197,0.1977,0.1816,0.6135,0.4548,0.5111,0.6469,0.6273,0.5782
22,1.2639,2.1194,0.1899,0.2179,0.1962,0.1852,0.6161,0.4413,0.5252,0.6495,0.5751,0.5557
23,1.2165,2.1685,0.1882,0.2154,0.1934,0.184,0.6239,0.4367,0.52,0.6535,0.5763,0.5619
24,1.1734,2.209,0.1876,0.2149,0.1934,0.1831,0.6269,0.4412,0.5216,0.6595,0.5992,0.5371
25,1.1373,2.2559,0.1854,0.2152,0.194,0.1798,0.6269,0.4491,0.517,0.6657,0.6082,0.5293
26,1.11,2.2954,0.1855,0.2133,0.1942,0.1801,0.6347,0.4528,0.52,0.6721,0.6128,0.5257
27,1.0904,2.2992,0.1866,0.2126,0.194,0.1817,0.632,0.4555,0.5252,0.6679,0.6084,0.5344
28,1.0789,2.3268,0.1855,0.2123,0.1947,0.1801,0.6339,0.4606,0.519,0.674,0.6178,0.5288
29,1.0728,2.3332,0.1853,0.2119,0.1946,0.1798,0.6333,0.4621,0.5199,0.6748,0.6241,0.5258
