painel,categoria,nos,pct_tempo_local
familias,Jockey/PARTITION_NONE,276425,27.93
familias,Jockey/Retangulares,276425,30.76
familias,Jockey/AB,276425,25.51
familias,Jockey/4-way,276425,15.81
familias,Jockey/AB+4-way,276425,41.31
familias,RaceNight/PARTITION_NONE,317708,29.68
familias,RaceNight/Retangulares,317708,37.86
familias,RaceNight/AB,317708,18.01
familias,RaceNight/4-way,317708,14.44
familias,RaceNight/AB+4-way,317708,32.46
familias,RiverBank/PARTITION_NONE,281184,32.87
familias,RiverBank/Retangulares,281184,38.20
familias,RiverBank/AB,281184,17.62
familias,RiverBank/4-way,281184,11.32
familias,RiverBank/AB+4-way,281184,28.93
familias,Agregado/PARTITION_NONE,875317,30.10
familias,Agregado/Retangulares,875317,35.64
familias,Agregado/AB,875317,20.35
familias,Agregado/4-way,875317,13.91
familias,Agregado/AB+4-way,875317,34.26
formas_estendidas,HORZ_4,875317,7.22
formas_estendidas,VERT_4,875317,6.69
formas_estendidas,VERT_A,875317,5.77
formas_estendidas,HORZ_A,875317,5.32
formas_estendidas,HORZ_B,875317,4.71
formas_estendidas,VERT_B,875317,4.55
